lacI_lacZ,lacY_lacA,lacY_lacZ,lacZ_lacY,length,max_distance,mean_distance,y
0.0,0.0,0.0,0.0,1579.0,51.0,32.0,0.0
0.0,0.0,0.0,0.0,6584.0,101.0,45.5,0.0
0.0,0.0,0.0,0.0,2893.0,31.0,14.666666666666666,0.0
0.0,0.0,0.0,0.0,1902.0,0.0,-10.0,0.0
0.0,0.0,0.0,0.0,1693.0,15.0,15.0,0.0
0.0,0.0,0.0,0.0,2489.0,23.0,17.0,0.0
0.0,0.0,0.0,0.0,2899.0,33.0,15.666666666666666,0.0
0.0,0.0,0.0,0.0,3797.0,18.0,10.75,0.0
0.0,0.0,0.0,0.0,10330.0,118.0,46.625,0.0
0.0,0.0,0.0,0.0,14832.0,15.0,-4.533333333333333,0.0
0.0,0.0,0.0,0.0,2844.0,19.0,5.333333333333333,0.0
0.0,0.0,0.0,0.0,2893.0,31.0,14.666666666666666,0.0
0.0,0.0,0.0,0.0,2893.0,31.0,14.666666666666666,0.0
0.0,0.0,0.0,0.0,2893.0,31.0,14.666666666666666,0.0
0.0,0.0,0.0,0.0,2892.0,16.0,9.333333333333334,0.0
0.0,0.0,0.0,0.0,1898.0,16.0,13.0,0.0
0.0,0.0,0.0,0.0,1905.0,0.0,-10.0,0.0
0.0,0.0,0.0,0.0,2845.0,84.0,84.0,0.0
0.0,0.0,0.0,0.0,1905.0,0.0,-10.0,0.0
0.0,0.0,0.0,0.0,5814.0,30.0,6.0,0.0
0.0,0.0,0.0,0.0,1905.0,0.0,-10.0,0.0
0.0,0.0,0.0,0.0,2778.0,27.0,17.333333333333332,0.0
0.0,0.0,0.0,0.0,4424.0,22.0,0.4,0.0
0.0,0.0,0.0,0.0,3430.0,0.0,-78.0,0.0
0.0,0.0,0.0,0.0,2694.0,11.0,11.0,0.0
0.0,0.0,0.0,0.0,6225.0,50.0,8.166666666666666,0.0
0.0,0.0,0.0,0.0,3462.0,53.0,53.0,0.0
0.0,0.0,0.0,0.0,7233.0,0.0,-27.666666666666668,0.0
0.0,0.0,0.0,0.0,3012.0,15.0,-6.25,0.0
0.0,0.0,0.0,0.0,3463.0,54.0,54.0,0.0
0.0,0.0,0.0,0.0,4313.0,19.0,19.0,0.0
0.0,0.0,0.0,0.0,1689.0,2.0,2.0,0.0
0.0,0.0,0.0,0.0,1936.0,27.0,15.666666666666666,0.0
0.0,0.0,0.0,0.0,1936.0,27.0,15.666666666666666,0.0
0.0,0.0,0.0,0.0,6412.0,66.0,23.833333333333332,0.0
0.0,0.0,0.0,0.0,1936.0,27.0,15.666666666666666,0.0
0.0,0.0,0.0,0.0,4016.0,19.0,19.0,0.0
0.0,0.0,0.0,0.0,2744.0,7.0,7.0,0.0
0.0,0.0,0.0,0.0,6890.0,82.0,38.5,0.0
0.0,0.0,0.0,0.0,4498.0,12.0,0.75,0.0
0.0,0.0,0.0,0.0,2124.0,57.0,27.0,0.0
0.0,0.0,0.0,0.0,1562.0,22.0,22.0,0.0
0.0,0.0,0.0,0.0,9667.0,68.0,1.7142857142857142,0.0
0.0,0.0,0.0,0.0,2368.0,0.0,-3.0,0.0
0.0,0.0,0.0,0.0,860.0,25.0,25.0,0.0
0.0,0.0,0.0,0.0,2802.0,41.0,26.333333333333332,0.0
0.0,0.0,0.0,0.0,2801.0,41.0,26.0,0.0
0.0,0.0,0.0,0.0,2442.0,74.0,55.5,0.0
0.0,0.0,0.0,0.0,2198.0,28.0,22.0,0.0
0.0,0.0,0.0,0.0,2985.0,20.0,7.333333333333333,0.0
0.0,0.0,0.0,0.0,375.0,11.0,11.0,0.0
0.0,0.0,0.0,0.0,2641.0,28.0,15.666666666666666,0.0
0.0,0.0,0.0,0.0,6369.0,22.0,12.166666666666666,0.0
0.0,0.0,0.0,0.0,2496.0,19.0,16.333333333333332,0.0
0.0,0.0,0.0,0.0,763.0,3.0,3.0,0.0
0.0,0.0,0.0,0.0,3002.0,21.0,17.0,0.0
0.0,0.0,0.0,0.0,969.0,32.0,32.0,0.0
0.0,0.0,0.0,0.0,2797.0,58.0,31.4,0.0
0.0,0.0,0.0,0.0,4393.0,43.0,24.0,0.0
0.0,0.0,0.0,0.0,2173.0,46.0,29.0,0.0
0.0,0.0,0.0,0.0,6221.0,20.0,-1.5,0.0
0.0,0.0,0.0,0.0,6179.0,41.0,29.0,0.0
0.0,0.0,0.0,0.0,2152.0,69.0,69.0,0.0
0.0,0.0,0.0,0.0,4270.0,0.0,-8.8,0.0
0.0,0.0,0.0,0.0,2253.0,33.0,15.0,0.0
0.0,0.0,0.0,0.0,6320.0,49.0,14.5,0.0
0.0,0.0,0.0,0.0,2913.0,103.0,56.333333333333336,0.0
0.0,0.0,0.0,0.0,5123.0,36.0,16.5,0.0
0.0,0.0,0.0,0.0,4886.0,31.0,20.5,0.0
0.0,0.0,0.0,0.0,2893.0,31.0,14.666666666666666,0.0
0.0,0.0,0.0,0.0,958.0,12.0,12.0,0.0
0.0,0.0,0.0,0.0,3012.0,52.0,22.5,0.0
0.0,0.0,0.0,0.0,5197.0,64.0,23.25,0.0
0.0,0.0,0.0,0.0,6392.0,20.0,13.5,0.0
0.0,0.0,0.0,0.0,6149.0,58.0,31.0,0.0
0.0,0.0,0.0,0.0,3631.0,32.0,12.75,0.0
0.0,0.0,0.0,0.0,6369.0,37.0,16.166666666666668,0.0
0.0,0.0,0.0,0.0,6066.0,24.0,14.333333333333334,0.0
0.0,0.0,0.0,0.0,1729.0,18.0,18.0,0.0
0.0,0.0,0.0,0.0,1838.0,50.0,40.0,0.0
0.0,0.0,0.0,0.0,1098.0,74.0,74.0,0.0
0.0,0.0,0.0,0.0,1298.0,13.0,13.0,0.0
0.0,0.0,0.0,0.0,1382.0,13.0,13.0,0.0
0.0,0.0,0.0,0.0,6827.0,30.0,16.0,0.0
0.0,0.0,0.0,0.0,7622.0,78.0,14.5,0.0
0.0,0.0,0.0,0.0,4146.0,31.0,16.333333333333332,0.0
0.0,0.0,0.0,0.0,3936.0,11.0,11.0,0.0
0.0,0.0,0.0,0.0,1609.0,0.0,-3.0,0.0
0.0,0.0,0.0,0.0,3352.0,21.0,17.666666666666668,0.0
0.0,0.0,0.0,0.0,2097.0,2.0,1.5,0.0
0.0,0.0,0.0,0.0,3109.0,93.0,53.25,0.0
0.0,0.0,0.0,0.0,6149.0,58.0,31.0,0.0
0.0,0.0,0.0,0.0,5550.0,72.0,40.666666666666664,0.0
0.0,0.0,0.0,0.0,5520.0,46.0,34.5,0.0
0.0,0.0,0.0,0.0,1922.0,29.0,13.0,0.0
0.0,0.0,0.0,0.0,2353.0,30.0,17.0,0.0
0.0,0.0,0.0,0.0,2533.0,24.0,15.666666666666666,0.0
0.0,0.0,0.0,0.0,6763.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2893.0,31.0,20.666666666666668,0.0
0.0,0.0,0.0,0.0,2478.0,0.0,-7.0,0.0
1.0,0.0,0.0,0.0,3917.0,115.0,115.0,0.0
0.0,0.0,0.0,0.0,8385.0,89.0,23.4,0.0
0.0,0.0,0.0,0.0,3912.0,26.0,26.0,0.0
0.0,0.0,0.0,0.0,5200.0,31.0,30.5,0.0
0.0,0.0,0.0,0.0,3217.0,96.0,96.0,0.0
0.0,0.0,0.0,0.0,3099.0,35.0,35.0,0.0
0.0,0.0,0.0,0.0,2759.0,11.0,5.5,0.0
0.0,0.0,0.0,0.0,10349.0,118.0,31.375,0.0
0.0,0.0,0.0,0.0,3444.0,55.0,35.0,0.0
0.0,0.0,0.0,0.0,2893.0,31.0,14.666666666666666,0.0
0.0,0.0,0.0,0.0,3861.0,50.0,14.4,0.0
0.0,0.0,0.0,0.0,3491.0,32.0,12.0,0.0
0.0,0.0,0.0,0.0,6266.0,0.0,-3.0,0.0
0.0,0.0,0.0,0.0,2716.0,15.0,15.0,0.0
0.0,0.0,0.0,0.0,2655.0,16.0,11.75,0.0
0.0,0.0,0.0,0.0,4016.0,19.0,19.0,0.0
0.0,0.0,0.0,0.0,1560.0,83.0,83.0,0.0
0.0,0.0,0.0,0.0,1039.0,18.0,18.0,0.0
0.0,0.0,0.0,0.0,5147.0,55.0,28.6,0.0
0.0,0.0,0.0,0.0,10339.0,118.0,44.75,0.0
0.0,0.0,0.0,0.0,10328.0,118.0,46.375,0.0
0.0,0.0,0.0,0.0,10333.0,118.0,44.75,0.0
0.0,0.0,0.0,0.0,2473.0,20.0,10.666666666666666,0.0
0.0,0.0,0.0,0.0,1936.0,6.0,6.0,0.0
0.0,0.0,0.0,0.0,3957.0,45.0,17.75,0.0
0.0,0.0,0.0,0.0,2467.0,51.0,9.666666666666666,0.0
0.0,0.0,0.0,0.0,2481.0,32.0,32.0,0.0
0.0,0.0,0.0,0.0,6477.0,24.0,5.4,0.0
0.0,0.0,0.0,0.0,3109.0,93.0,53.25,0.0
0.0,0.0,0.0,0.0,10840.0,97.0,38.22222222222222,0.0
0.0,0.0,0.0,0.0,5492.0,71.0,27.4,0.0
0.0,0.0,0.0,0.0,1713.0,5.0,5.0,0.0
0.0,0.0,0.0,0.0,1804.0,9.0,6.5,0.0
